id,municipio,mesorregiao,microregiao
1,Abaiara,Sul,Brejo Santo
2,Acarape,Norte,Baturité
3,Acaraú,Noroeste,Litoral de Camocim e Acaraú
4,Acopiara,Sertões,Sertão de Senador Pompeu
5,Aiuaba,Sertões,Sertão de Inhamuns
6,Alcântaras,Noroeste,Meruoca
7,Altaneira,Sul,Caririaçu
8,Alto Santo,Jaguaribe,Baixo Jaguaribe
9,Amontada,Norte,Itapipoca
10,Antonina do Norte,Centro-sul Cearense,Várzea Alegre
11,Apuiarés,Norte,Médio Curu
12,Aquiraz,Metropolitana de Fortaleza,Fortaleza
13,Aracati,Jaguaribe,Litoral de Aracati
14,Aracoiaba,Norte,Baturité
15,Ararendá,Sertões,Sertão de Crateús
16,Araripe,Sul,Chapada do Araripe
17,Aratuba,Norte,Baturité
18,Arneiroz,Sertões,Sertão de Inhamuns
19,Assaré,Sul,Chapada do Araripe
20,Aurora,Sul,Barro
21,Baixio,Centro-Sul Cearense,Lavras da Mangabeira
22,Banabuiú,Sertões,Sertão de Quixeramobim
23,Barbalha,Sul,Cariri
24,Barreira,Norte,Chorozinho
25,Barro,Sul,Barro
26,Barroquinha,Noroeste,Litoral de Camocim e Acaraú
27,Baturité,Norte,Baturité
28,Beberibe,Norte,Cascavel
29,Bela Cruz,Noroeste,Litoral de Camocim e Acaraú
30,Boa Viagem,Sertões,Sertão de Quixeramobim
31,Brejo Santo,Sul,Brejo Santo
32,Camocim,Noroeste,Litoral de Camocim e Acaraú
33,Campos Sales,Sul,Chapada do Araripe
34,Canindé,Norte,Canindé
35,Capistrano,Norte,Baturité
36,Caridade,Norte,Canindé
37,Cariré,Noroeste,Sobral
38,Caririaçu,Sul,Caririaçu
39,Cariús,Centro-Sul Cearense,Várzea Alegre
40,Carnaubal,Noroeste,Ibiapaba
41,Cascavel,Norte,Cascavel
42,Catarina,Sertões,Sertão de Inhamuns
43,Catunda,Noroeste,Santa Quitéria
44,Caucaia,Metropolitana de Fortaleza,Fortaleza
45,Cedro,Centro-Sul Cearense,Iguatu
46,Chaval,Noroeste,Litoral de Camocim e Acaraú
47,Choró,Sertões,Sertão de Quixeramobim
48,Chorozinho,Norte,Chorozinho
49,Coreaú,Noroeste,Coreaú
50,Crateús,Sertões,Sertão de Crateús
51,Crato,Sul,Cariri
52,Croatá,Noroeste,Ibiapaba
53,Cruz,Noroeste,Litoral de Camocim e Acaraú
54,Deputado Irapuan Pinheiro,Sertões,Sertão de Senador Pompeu
55,Ererê,Jaguaribe,Serra do Pereiro
56,Eusébio,Metropolitana de Fortaleza,Fortaleza
57,Farias Brito,Sul,Caririaçu
58,Forquilha,Noroeste,Sobral
59,Fortaleza,Metropolitana de Fortaleza,Fortaleza
60,Fortim,Jaguaribe,Litoral de Aracati
61,Frecheirinha,Noroeste,Coreaú
62,General Sampaio,Norte,Médio Curu
63,Graça,Noroeste,Sobral
64,Granja,Noroeste,Litoral de Camocim e Acaraú
65,Granjeiro,Sul,Caririaçu
66,Groaíras,Noroeste,Sobral
67,Guaiúba,Metropolitana de Fortaleza,Fortaleza
68,Guaraciaba do Norte,Noroeste,Ibiapaba
69,Guaramiranga,Norte,Baturité
70,Hidrolândia,Noroeste,Santa Quitéria
71,Horizonte,Metropolitana de Fortaleza,Pacajus
72,Ibaretama,Sertões,Sertão de Quixeramobim
73,Ibiapina,Noroeste,Ibiapaba
74,Ibicuitinga,Jaguaribe,Baixo Jaguaribe
75,Icapuí,Jaguaribe,Litoral de Aracati
76,Icó,Centro-sul Cearense,Iguatu
77,Iguatu,Centro-sul Cearense,Iguatu
78,Independência,Sertões,Sertão de Crateús
79,Ipaporanga,Sertões,Sertão de Crateús
80,Ipaumirim,Centro-sul Cearense,Várzea Alegre
81,Ipu,Noroeste,Ipu
82,Ipueiras,Noroeste,Ipu
83,Iracema,Jaguaribe,Serra do Pereiro
84,Irauçuba,Noroeste,Sobral
85,Itaiçaba,Jaguaribe,Litoral de Aracati
86,Itaitinga,Metropolitana de Fortaleza,Fortaleza
87,Itapajé,Norte,Uruburetama
88,Itapipoca,Norte,Itapipoca
89,Itapiúna,Norte,Baturité
90,Itarema,Noroeste,Litoral de Camocim e Acaraú
91,Itatira,Norte,Canindé
92,Jaguaretama,Jaguaribe,Médio Jaguaribe
93,Jaguaribara,Jaguaribe,Médio Jaguaribe
94,Jaguaribe,Jaguaribe,Médio Jaguaribe
95,Jaguaruana,Jaguaribe,Baixo Jaguaribe
96,Jardim,Sul,Cariri
97,Jati,Sul,Brejo Santo
98,Jijoca de Jericoacoara,Noroeste,Litoral de Camocim e Acaraú
99,Juazeiro do Norte,Sul,Cariri
100,Jucás,Centro-Sul Cearense,Várzea Alegre
101,Lavras da Mangabeira,Centro-Sul Cearense,Lavras da Mangabeira
102,Limoeiro do Norte,Jaguaribe,Baixo Jaguaribe
103,Madalena,Sertões,Sertão de Quixeramobim
104,Maracanaú,Metropolitana de Fortaleza,Fortaleza
105,Maranguape,Metropolitana de Fortaleza,Fortaleza
106,Marco,Noroeste,Litoral de Camocim e Acaraú
107,Martinópole,Noroeste,Litoral de Camocim e Acaraú
108,Massapê,Noroeste,Sobral
109,Mauriti,Sul,Barro
110,Meruoca,Noroeste,Meruoca
111,Milagres,Sul,Brejo Santo
112,Milhã,Sertões,Sertão de Senador Pompeu
113,Miraíma,Noroeste,Sobral
114,Missão Velha,Sul,Cariri
115,Mombaça,Sertões,Sertão de Senador Pompeu
116,Monsenhor Tabosa,Sertões,Sertão de Crateús
117,Morada Nova,Jaguaribe,Baixo Jaguaribe
118,Moraújo,Noroeste,Coreaú
119,Morrinhos,Noroeste,Litoral de Camocim e Acaraú
120,Mucambo,Noroeste,Sobral
121,Mulungu,Norte,Baturité
122,Nova Olinda,Sul,Cariri
123,Nova Russas,Sertões,Sertão de Crateús
124,Novo Oriente,Sertões,Sertão de Crateús
125,Ocara,Norte,Chorozinho
126,Orós,Centro-Sul,Iguatu
127,Pacajus,Metropolitana de Fortaleza,Pacajus
128,Pacatuba,Metropolitana de Fortaleza,Fortaleza
129,Pacoti,Norte,Baturité
130,Pacujá,Noroeste,Sobral
131,Palhano,Jaguaribe,Baixo Jaguaribe
132,Palmácia,Norte,Baturité
133,Paracuru,Norte,Baixo Curu
134,Paraipaba,Norte,Baixo Curu
135,Parambu,Sertões,Sertão de Inhamuns
136,Paramoti,Norte,Canindé
137,Pedra Branca,Sertões,Sertão de Senador Pompeu
138,Penaforte,Sul,Brejo Santo
139,Pentecoste,Norte,Médio Curu
140,Pereiro,Jaguaribe,Serra do Pereiro
141,Pindoretama,Norte,Cascavel
142,Piquet Carneiro,Sertões,Sertão de Senador Pompeu
143,Pires Ferreira,Noroeste,Ipu
144,Poranga,Noroeste,Ipu
145,Porteiras,Sul,Cariri
146,Potengi,Sul,Chapada do Araripe
147,Potiretama,Jaguaribe,Serra do Pereiro
148,Quiterianópolis,Sertões,Sertão de Crateús
149,Quixadá,Sertões,Sertão de Quixeramobim
150,Quixelô,Centro-Sul Cearense,Iguatu
151,Quixeramobim,Sertões,Sertão de Quixeramobim
152,Quixeré,Jaguaribe,Baixo Jaguaribe
153,Redenção,Norte,Baturité
154,Reriutaba,Noroeste,Ipu
155,Russas,Jaguaribe,Baixo Jaguaribe
156,Saboeiro,Sertões,Sertão de Inhamuns
157,Salitre,Sul,Chapada do Araripe
158,Santa Quitéria,Noroeste,Santa Quitéria
159,Santana do Acaraú,Noroeste,Sobral
160,Santana do Cariri,Sul,Cariri
161,São Benedito,Noroeste,Ibiapaba
162,São Gonçalo do Amarante,Norte,Baixo Curu
163,São João do Jaguaribe,Jaguaribe,Baixo Jaguaribe
164,São Luís do Curu,Norte,Médio Curu
165,Senador Pompeu,Sertões,Sertão de Senador Pompeu
166,Senador Sá,Noroeste,Sobral
167,Sobral,Noroeste,Sobral
168,Solonópole,Sertões,Sertão de Senador Pompeu
169,Tabuleiro do Norte,Jaguaribe,Baixo Jaguaribe
170,Tamboril,Sertões,Sertão de Crateús
171,Tarrafas,Centro-Sul Cearense,Várzea Alegre
172,Tauá,Sertões,Sertão de Inhamuns
173,Tejuçuoca,Norte,Médio Curu
174,Tianguá,Noroeste,Ibiapaba
175,Trairi,Norte,Itapipoca
176,Tururu,Norte,Uruburetama
177,Ubajara,Noroeste,Ibiapaba
178,Umari,Centro-Sul Cearense,Lavras da Mangabeira
179,Umirim,Norte,Uruburetama
180,Uruburetama,Norte,Uruburetama
181,Uruoca,Noroeste,Coreaú
182,Varjota,Noroeste,Ipu
183,Várzea Alegre,Centro-Sul Cearense,Várzea Alegre
184,Viçosa do Ceará,Noroeste,Ibiapaba